driver_id,driver_age,vehicle_type,experience_years,rating,city,total_completed_deliveries,avg_delivery_time_min,acceptance_rate,active_hours_per_week
30039,26,Bike,6.7,3.98,Delhi,4445,39.08,0.78,59.2
30040,28,Bike,9.6,4.03,Pune,6104,44.58,0.85,41.3
30041,29,Bike,9.0,4.3,Chennai,4496,43.24,0.84,40.6
30042,31,Bike,1.3,4.42,Mumbai,402,34.56,0.87,31.2
30043,44,Bike,1.0,4.03,Pune,420,40.68,1.0,16.8
30044,26,Bike,9.6,3.84,Delhi,3289,35.73,0.87,49.2
30045,36,Bike,2.4,4.25,Delhi,1344,38.31,0.85,27.4
30046,37,Bike,5.7,4.38,Mumbai,3295,42.98,0.85,30.8
30047,44,Bike,1.2,4.76,Chennai,671,40.88,0.89,39.0
30048,27,Bike,8.5,4.6,Bangalore,3484,31.89,0.86,17.6
30049,47,Bike,1.6,3.76,Delhi,1068,39.6,0.87,15.5
30050,30,Scooter,6.6,4.15,Delhi,3533,48.89,0.84,19.7
30051,29,Scooter,1.0,4.36,Pune,538,24.58,0.91,48.1
30052,30,Bike,2.0,3.9,Hyderabad,1252,35.02,0.78,23.6
30053,50,Bike,5.4,4.08,Mumbai,1769,28.01,0.82,38.1
30054,29,Bike,0.9,4.44,Delhi,345,35.95,0.95,23.4
30055,46,Bike,2.4,4.29,Hyderabad,1285,40.29,0.83,27.8
30056,54,Bike,1.8,4.2,Pune,979,30.7,0.78,16.7
30057,47,Bike,0.9,3.97,Pune,438,28.51,0.86,31.5
30058,40,Bike,9.7,3.69,Bangalore,5936,45.93,0.81,21.1
30059,44,Car,4.8,4.09,Mumbai,2103,37.96,0.76,40.1
30060,47,Car,8.7,4.17,Bangalore,2649,42.35,0.92,52.6
30061,39,Scooter,3.9,3.69,Hyderabad,1700,41.15,0.81,54.5
30062,38,Scooter,0.9,4.22,Pune,617,28.85,0.86,57.0
30063,32,Bike,7.1,4.34,Chennai,4342,42.18,0.84,20.6
30064,38,Scooter,0.9,3.96,Pune,384,31.2,0.82,38.2
30065,28,Bike,5.8,4.34,Mumbai,2256,30.12,0.82,20.2
30066,36,Car,1.8,4.3,Chennai,1123,42.18,0.85,28.8
30067,33,Scooter,6.9,4.09,Hyderabad,2621,25.01,0.94,25.4
30068,46,Bike,9.0,4.05,Mumbai,4788,27.25,0.88,15.6
30069,46,Scooter,9.6,4.08,Delhi,4830,31.68,0.97,56.9
30070,41,Bike,5.5,3.9,Hyderabad,2579,23.29,0.81,50.2
30071,41,Bike,5.6,4.32,Pune,2634,35.48,0.86,38.4
30072,28,Car,0.9,3.9,Hyderabad,522,31.31,0.75,30.5
30073,53,Bike,7.8,3.93,Bangalore,2660,36.86,0.9,33.5
30074,26,Scooter,9.6,4.37,Chennai,4397,48.2,0.93,24.2
30075,22,Bike,4.7,4.12,Pune,3230,26.52,0.91,58.6
30076,28,Bike,8.0,4.22,Pune,4890,25.19,0.92,27.8
30077,26,Scooter,8.1,3.6,Mumbai,2498,31.83,0.85,18.4
30078,26,Car,8.0,4.02,Pune,3830,29.1,0.89,40.4
30079,42,Bike,7.7,4.79,Mumbai,2670,34.96,0.92,48.7
30080,45,Bike,2.5,3.58,Delhi,1234,46.36,0.94,58.7
30081,51,Scooter,7.6,4.81,Mumbai,2594,47.55,0.85,43.0
30082,25,Scooter,1.9,4.29,Delhi,865,31.42,0.8,23.3
30083,42,Scooter,7.3,4.01,Mumbai,3781,28.45,0.96,32.6
30084,45,Scooter,0.5,4.13,Pune,223,28.6,0.86,29.2
30085,38,Scooter,9.2,4.63,Bangalore,4889,37.47,0.85,15.9
30086,29,Bike,8.4,3.4,Pune,5829,34.74,0.79,32.6
30087,45,Bike,7.0,4.7,Hyderabad,2788,35.55,0.84,51.0
30088,49,Bike,1.4,4.29,Mumbai,736,31.24,0.82,33.2
30089,53,Scooter,8.3,4.55,Hyderabad,4054,36.17,0.78,53.3
30090,28,Car,8.8,3.59,Chennai,5488,48.66,0.78,48.4
30091,33,Scooter,7.0,4.12,Hyderabad,2981,44.11,0.9,47.4
30092,28,Scooter,9.8,3.39,Chennai,5441,51.63,0.83,32.1
30093,47,Scooter,1.4,4.62,Mumbai,808,35.75,0.86,17.4
30094,23,Bike,7.2,3.86,Bangalore,4969,26.74,0.83,54.7
30095,53,Bike,5.5,3.85,Bangalore,1982,20.26,0.78,43.7
30096,51,Bike,1.9,3.52,Hyderabad,1328,39.26,0.95,19.1
30097,48,Car,6.8,4.36,Bangalore,4001,24.96,0.87,18.7
30098,41,Car,8.1,4.23,Chennai,3908,47.25,0.91,42.6
30099,49,Scooter,2.1,3.94,Bangalore,851,35.09,0.88,34.0
30100,49,Bike,8.0,4.29,Bangalore,4411,33.08,0.84,23.6
30101,29,Scooter,1.4,3.93,Pune,499,34.81,0.81,25.8
30102,42,Bike,6.1,3.58,Pune,4140,36.74,0.72,32.4
30103,28,Scooter,8.1,4.07,Bangalore,3027,41.5,0.69,48.8
30104,37,Bike,1.9,4.78,Delhi,1158,34.47,0.92,23.9
30105,43,Bike,5.9,4.54,Delhi,2584,36.2,0.93,46.6
30106,50,Bike,4.5,4.36,Hyderabad,1738,38.74,0.95,23.1
30107,35,Scooter,6.3,4.29,Pune,3927,36.42,0.84,49.4
30108,34,Scooter,4.5,4.07,Mumbai,2948,24.34,0.8,55.5
30109,45,Bike,2.9,4.46,Pune,876,31.54,0.9,34.9
30110,36,Scooter,2.9,4.4,Mumbai,2000,42.72,0.95,43.9
30111,38,Scooter,8.7,4.17,Chennai,4078,47.14,0.99,27.0
30112,52,Scooter,2.0,4.27,Chennai,676,46.27,0.83,56.7
30113,35,Scooter,1.7,3.64,Hyderabad,818,38.97,0.93,34.2
30114,53,Bike,1.4,4.03,Delhi,486,32.11,0.89,37.4
30115,33,Car,1.2,3.78,Bangalore,484,44.66,0.85,26.8
30116,27,Bike,0.6,3.78,Delhi,313,32.67,0.8,23.7
30117,39,Bike,2.0,4.36,Pune,887,31.7,0.95,25.2
30118,41,Scooter,2.3,3.76,Delhi,899,38.15,0.94,36.4
30119,29,Bike,3.1,4.47,Pune,1173,20.0,0.84,21.2
30120,24,Car,1.7,4.56,Hyderabad,942,35.26,0.91,32.5
30121,51,Scooter,1.4,4.18,Delhi,929,35.44,0.9,32.2
30122,27,Bike,5.6,3.99,Mumbai,1806,34.02,0.9,34.5
30123,33,Car,7.3,4.56,Delhi,2903,33.94,0.78,34.0
30124,28,Scooter,6.5,4.39,Mumbai,3680,45.49,0.78,27.3
30125,46,Scooter,5.8,4.62,Chennai,4030,23.63,0.84,31.5
30126,47,Bike,4.7,3.82,Chennai,2690,38.05,0.88,55.6
30127,46,Scooter,6.5,4.11,Pune,2086,39.48,0.99,16.7
30128,34,Bike,9.1,4.12,Hyderabad,3381,46.47,0.73,19.0
30129,40,Bike,6.5,4.27,Bangalore,2853,37.34,0.94,56.8
30130,48,Scooter,1.1,4.42,Delhi,399,38.63,0.75,27.2
30131,28,Car,5.9,4.25,Bangalore,2200,34.91,0.87,28.7
30132,25,Bike,5.5,4.67,Mumbai,2252,37.21,0.7,30.5
30133,33,Bike,4.8,4.07,Bangalore,2155,35.09,0.96,19.7
30134,22,Scooter,5.9,3.83,Delhi,2694,26.63,0.87,49.6
30135,34,Scooter,6.9,3.97,Pune,3448,37.09,0.88,22.3
30136,23,Bike,0.9,3.92,Bangalore,604,36.72,0.92,46.6
30137,36,Scooter,5.1,4.04,Bangalore,3556,30.94,0.83,25.5
30138,29,Bike,8.3,4.11,Bangalore,2555,36.8,0.71,45.7
30139,22,Bike,5.5,4.12,Hyderabad,2736,44.04,0.71,58.7
30140,31,Bike,1.1,4.28,Bangalore,660,32.88,0.89,37.9
30141,44,Bike,7.9,4.04,Delhi,2601,47.11,0.83,29.4
30142,49,Bike,9.4,4.57,Pune,6358,45.44,0.95,32.0
30143,34,Bike,8.6,3.52,Delhi,5805,29.74,0.85,32.3
30144,42,Bike,3.9,3.42,Bangalore,1495,31.15,0.9,20.6
30145,54,Scooter,5.6,4.55,Hyderabad,3440,33.76,0.92,51.8
30146,53,Scooter,6.1,4.52,Mumbai,3248,26.09,0.92,32.1
30147,38,Scooter,7.3,4.63,Bangalore,2288,28.49,0.83,47.3
30148,42,Bike,6.8,4.42,Hyderabad,2848,20.0,0.86,27.2
30149,45,Bike,2.4,4.2,Chennai,972,39.48,0.92,31.0
30150,25,Car,8.5,4.11,Delhi,5541,40.18,0.87,54.9
30151,52,Scooter,8.6,3.64,Chennai,5667,24.08,0.71,34.1
30152,29,Scooter,4.3,4.25,Delhi,1349,24.37,0.68,30.9
30153,34,Bike,1.7,3.7,Mumbai,1014,34.51,0.8,29.1
30154,52,Bike,6.3,5.0,Pune,2192,35.59,0.93,55.2
30155,29,Bike,3.9,3.84,Hyderabad,2403,43.81,0.85,34.0
30156,43,Scooter,7.5,4.17,Mumbai,4786,30.23,0.98,54.5
30157,29,Scooter,3.5,4.73,Chennai,1132,30.33,0.91,28.5
30158,41,Scooter,3.0,4.07,Hyderabad,1291,35.79,0.74,59.0
30159,52,Scooter,8.7,4.07,Chennai,3931,43.31,0.93,37.6
30160,30,Car,6.4,3.29,Bangalore,4365,45.59,0.75,22.4
30161,49,Bike,1.3,3.74,Chennai,582,28.34,0.98,34.1
30162,54,Car,7.0,4.4,Mumbai,2816,42.78,0.89,45.7
30163,42,Scooter,7.7,4.79,Mumbai,4218,28.82,0.96,55.0
30164,25,Bike,2.7,3.89,Bangalore,981,22.4,0.89,20.7
30165,31,Scooter,9.7,4.27,Hyderabad,5335,36.54,0.85,40.1
30166,48,Scooter,4.0,5.0,Chennai,1933,43.8,0.86,39.0
30167,44,Bike,9.4,4.4,Pune,5570,33.43,0.78,29.8
30168,54,Bike,3.3,4.54,Chennai,1754,42.71,0.87,33.4
30169,30,Scooter,6.3,3.93,Chennai,2334,29.49,0.86,28.7
30170,46,Bike,5.4,4.74,Hyderabad,3644,35.99,0.89,28.6
30171,27,Bike,9.9,3.96,Mumbai,4747,41.41,0.83,39.0
30172,27,Scooter,4.4,3.9,Bangalore,2630,37.38,0.78,17.7
30173,35,Scooter,2.2,4.72,Pune,1128,33.95,0.85,36.7
30174,23,Bike,8.4,3.98,Hyderabad,5427,30.96,0.78,29.6
30175,46,Bike,0.9,4.2,Bangalore,391,33.19,0.78,35.9
30176,27,Car,8.9,4.77,Delhi,4944,42.35,0.75,58.9
30177,22,Bike,1.6,3.88,Bangalore,530,34.1,0.84,48.4
30178,30,Bike,5.9,4.12,Delhi,1953,23.28,0.86,53.8
30179,50,Scooter,7.3,3.99,Bangalore,4653,36.83,0.81,31.7
30180,23,Bike,3.7,4.08,Delhi,2321,34.89,0.88,46.8
30181,49,Scooter,8.5,4.21,Chennai,3771,37.7,0.84,35.8
30182,45,Bike,6.1,4.67,Pune,3479,34.14,0.82,41.9
30183,24,Scooter,4.3,4.77,Hyderabad,2715,34.27,0.94,34.7
30184,25,Scooter,3.6,4.25,Chennai,1287,40.99,0.8,20.9
30185,26,Car,1.6,3.95,Mumbai,1110,50.86,0.82,57.6
30186,39,Scooter,6.6,4.44,Hyderabad,4318,33.79,0.87,46.8
30187,38,Bike,4.0,4.2,Chennai,2305,41.93,0.91,42.0
30188,32,Bike,3.5,4.21,Bangalore,1810,25.5,0.77,40.2
30189,44,Bike,9.5,3.84,Hyderabad,6250,34.48,0.86,47.5
30190,50,Scooter,3.1,3.63,Bangalore,1846,33.09,0.84,39.0
30191,34,Scooter,8.8,4.19,Chennai,4698,26.67,0.91,24.7
30192,22,Car,9.8,3.83,Hyderabad,6435,38.53,0.8,15.3
30193,54,Bike,8.3,4.01,Chennai,3189,41.76,0.85,32.2
30194,40,Bike,0.7,4.72,Mumbai,278,38.55,0.98,40.4
30195,43,Bike,8.8,4.18,Chennai,5913,35.71,0.82,31.7
30196,54,Scooter,2.5,4.59,Pune,817,31.86,0.94,39.0
30197,41,Scooter,3.9,4.3,Mumbai,1242,44.83,0.82,44.9
30198,28,Bike,9.9,4.4,Chennai,6106,37.81,0.84,51.4
30199,50,Scooter,4.3,4.01,Hyderabad,2002,32.02,0.82,28.4
30200,40,Bike,6.7,4.6,Bangalore,4465,47.97,0.77,43.5
30201,40,Bike,3.5,4.31,Hyderabad,1470,20.0,0.77,55.1
30202,43,Bike,4.0,4.11,Chennai,1659,35.35,0.9,21.9
30203,40,Car,6.2,4.31,Pune,4233,36.86,0.81,46.1
30204,43,Car,9.5,3.95,Chennai,4954,49.87,0.79,56.2
30205,24,Bike,3.2,4.1,Chennai,1745,33.65,0.8,45.2
30206,30,Bike,2.8,4.18,Delhi,1845,30.95,0.72,19.2
30207,25,Scooter,0.7,4.02,Mumbai,316,38.34,0.8,27.7
30208,52,Scooter,2.4,4.75,Bangalore,957,20.0,0.83,23.5
30209,38,Bike,3.0,4.05,Mumbai,1585,22.14,0.77,56.1
30210,45,Scooter,1.1,4.93,Chennai,510,21.82,0.87,59.6
30211,37,Scooter,5.9,4.22,Chennai,2156,33.85,0.84,34.5
30212,25,Car,1.7,4.12,Mumbai,590,37.79,0.79,55.3
30213,41,Scooter,5.4,4.02,Mumbai,3186,43.82,0.86,21.1
30214,39,Bike,2.3,4.35,Pune,721,38.3,0.85,15.2
30215,43,Scooter,9.4,4.51,Mumbai,4803,32.5,0.91,40.6
30216,25,Bike,3.4,3.31,Delhi,1468,34.85,0.74,59.4
30217,53,Scooter,1.4,4.2,Mumbai,504,38.69,0.97,40.3
30218,24,Scooter,8.4,3.5,Chennai,5512,39.72,0.83,59.1
30219,53,Scooter,4.3,4.54,Bangalore,2563,31.93,0.91,35.3
30220,46,Bike,8.3,4.55,Hyderabad,5056,39.88,0.76,32.2
30221,42,Car,3.5,4.21,Pune,1660,33.79,0.85,56.8
30222,31,Scooter,5.3,4.27,Mumbai,2964,29.74,0.82,17.2
30223,46,Bike,4.7,3.7,Mumbai,1580,34.65,0.88,29.7
30224,33,Bike,5.8,4.01,Mumbai,2063,42.49,0.97,35.0
30225,34,Bike,4.3,3.99,Pune,1844,28.41,0.85,18.9
30226,27,Scooter,5.2,4.04,Bangalore,2512,29.63,0.81,38.3
30227,36,Bike,7.0,4.51,Mumbai,2362,35.9,0.85,31.9
30228,40,Bike,4.4,4.65,Mumbai,2314,42.23,0.67,34.7
30229,47,Bike,7.0,4.41,Pune,2771,30.88,0.82,45.9
30230,54,Scooter,7.3,4.09,Mumbai,4451,41.92,0.68,18.2
30231,42,Scooter,7.6,3.94,Bangalore,2281,41.66,0.93,58.3
30232,23,Bike,5.0,4.23,Hyderabad,3232,37.06,0.92,38.5
30233,47,Car,0.5,4.3,Pune,296,43.31,0.9,52.7
30234,27,Car,7.7,4.12,Pune,3992,31.34,0.78,29.3
30235,43,Bike,9.1,3.97,Chennai,5414,45.54,0.74,29.1
30236,22,Scooter,6.7,4.42,Bangalore,2987,45.45,0.93,55.7
30237,44,Scooter,5.5,4.45,Mumbai,2007,45.03,1.0,20.3
30238,22,Scooter,5.8,3.74,Delhi,1761,39.52,0.9,19.7
30239,37,Bike,6.6,4.07,Bangalore,3428,26.18,0.97,46.4
30240,31,Scooter,10.0,4.47,Mumbai,4167,39.62,0.87,36.0
30241,27,Bike,1.1,4.55,Pune,423,44.94,0.83,47.3
30242,22,Scooter,0.7,4.22,Mumbai,452,20.0,0.99,34.5
30243,35,Scooter,9.7,4.33,Chennai,5723,38.3,0.85,24.5
30244,51,Scooter,4.7,4.29,Bangalore,3271,37.87,0.93,47.2
30245,26,Bike,6.3,4.53,Bangalore,3557,30.41,0.84,16.8
30246,49,Car,7.7,3.81,Pune,5067,21.6,0.83,35.2
30247,24,Scooter,7.5,4.29,Chennai,2605,31.84,0.83,35.6
30248,32,Scooter,6.6,3.89,Pune,3888,38.5,0.88,18.5
30249,47,Bike,5.0,4.58,Delhi,1672,30.65,0.82,25.9
30250,45,Bike,6.0,3.83,Delhi,2026,45.85,1.0,26.7
30251,32,Car,7.4,4.34,Hyderabad,4759,35.2,0.87,55.2
30252,37,Car,8.6,3.89,Hyderabad,3818,35.95,0.84,38.1
30253,32,Bike,1.7,4.46,Chennai,725,33.13,0.8,45.2
30254,51,Bike,3.1,4.35,Pune,1157,32.99,0.9,17.5
30255,29,Bike,4.3,4.28,Bangalore,2124,33.27,0.67,19.7
30256,39,Bike,6.8,4.89,Mumbai,2593,34.8,0.83,40.4
30257,49,Bike,4.3,3.95,Delhi,2215,32.89,0.91,52.6
30258,45,Bike,2.8,4.52,Pune,1579,31.02,0.76,17.4
30259,35,Scooter,0.8,4.61,Bangalore,449,39.71,0.88,59.3
30260,29,Bike,8.5,4.52,Pune,3789,34.18,0.89,54.8
30261,33,Car,4.5,3.96,Hyderabad,2617,41.71,0.83,54.3
30262,23,Scooter,3.6,4.12,Delhi,1463,35.7,0.86,15.4
30263,30,Bike,5.5,3.99,Mumbai,3426,29.43,0.84,33.3
30264,38,Car,1.7,4.1,Pune,510,26.71,0.78,50.8
30265,30,Scooter,4.3,3.91,Hyderabad,2952,34.83,0.99,49.1
30266,48,Bike,7.6,4.07,Mumbai,3598,42.3,0.88,30.6
30267,23,Scooter,7.5,4.71,Hyderabad,3251,45.73,0.84,54.5
30268,40,Bike,7.8,4.09,Mumbai,4288,48.04,0.85,43.6
30269,38,Scooter,4.9,4.24,Pune,3193,42.58,0.92,59.7
30270,40,Scooter,4.0,3.95,Delhi,1764,47.39,0.71,30.1
30271,30,Bike,8.4,4.19,Pune,2755,29.3,0.84,44.0
30272,54,Scooter,2.1,4.49,Chennai,927,38.14,0.75,34.1
30273,42,Scooter,7.4,4.37,Mumbai,2235,29.59,0.91,44.1
30274,41,Bike,8.9,4.7,Delhi,3328,38.26,0.91,26.7
30275,53,Bike,3.2,3.78,Bangalore,1026,41.99,0.83,32.2
30276,36,Car,2.4,3.94,Bangalore,1092,31.63,0.89,57.0
30277,21,Scooter,5.4,4.06,Hyderabad,1749,37.8,0.88,28.0
30278,32,Scooter,2.6,4.73,Pune,1803,35.64,0.98,42.9
30279,33,Scooter,8.8,4.3,Pune,5392,36.86,0.9,56.3
30280,28,Bike,2.8,3.7,Chennai,1309,33.9,0.76,36.6
30281,51,Scooter,3.5,4.58,Hyderabad,2156,25.74,0.79,46.3
30282,25,Scooter,8.9,4.24,Pune,4155,45.05,0.86,48.7
30283,45,Scooter,2.5,4.51,Pune,1397,38.14,0.69,39.5
30284,33,Scooter,8.9,4.75,Mumbai,5594,39.4,0.94,32.1
30285,52,Scooter,2.5,3.86,Chennai,1434,44.75,0.88,51.4
30286,28,Scooter,9.2,4.75,Mumbai,3070,42.01,0.72,39.9
30287,42,Scooter,3.5,4.17,Pune,1110,24.29,0.85,20.2
30288,26,Scooter,2.8,4.06,Delhi,1478,43.44,1.0,54.4
30289,31,Bike,5.0,4.25,Chennai,1892,36.97,0.81,28.4
30290,27,Scooter,4.0,3.78,Bangalore,2774,36.0,0.73,37.2
30291,35,Scooter,2.4,4.19,Delhi,735,38.99,0.81,24.6
30292,24,Scooter,3.7,4.12,Delhi,2217,37.71,0.71,37.2
30293,54,Scooter,7.3,3.87,Mumbai,2313,30.07,0.87,20.8
30294,42,Car,8.4,3.97,Hyderabad,4572,26.4,0.77,40.5
30295,50,Bike,8.3,4.6,Pune,3884,20.0,0.9,38.5
30296,39,Bike,7.7,4.14,Mumbai,4259,41.17,0.87,51.8
30297,50,Scooter,0.6,3.86,Delhi,362,50.16,0.8,40.2
30298,52,Bike,4.6,4.36,Chennai,1441,31.33,0.73,33.4
30299,39,Car,2.1,4.47,Bangalore,1067,42.75,0.87,36.0
30300,45,Bike,1.2,4.2,Delhi,812,28.83,0.86,42.2
30301,43,Bike,7.5,3.77,Hyderabad,2903,31.49,0.73,52.8
30302,32,Car,8.0,3.31,Pune,2647,43.82,0.79,16.9
30303,29,Bike,8.2,3.88,Hyderabad,4988,29.63,0.73,56.7
30304,37,Bike,9.0,4.57,Pune,5369,32.25,0.78,18.8
30305,50,Bike,6.1,4.54,Pune,2781,32.48,0.83,30.5
30306,24,Scooter,10.0,3.92,Chennai,6320,33.35,0.8,30.1
30307,24,Bike,5.1,4.12,Hyderabad,2639,42.48,0.75,38.9
30308,44,Bike,8.9,4.44,Chennai,4362,26.67,0.88,31.0
30309,23,Car,1.6,4.15,Hyderabad,1005,32.32,0.89,24.9
30310,29,Bike,1.9,4.53,Mumbai,644,29.44,0.91,26.0
30311,31,Scooter,6.1,4.17,Pune,2376,20.86,0.98,59.3
30312,52,Bike,1.7,4.37,Bangalore,812,37.34,0.88,52.6
30313,49,Bike,1.2,4.09,Pune,401,33.95,0.77,51.2
30314,54,Scooter,2.4,3.93,Bangalore,1676,20.0,0.8,33.9
30315,54,Bike,8.0,4.61,Delhi,3403,38.92,0.88,57.1
30316,41,Bike,9.3,3.67,Delhi,6315,38.14,0.88,17.8
30317,45,Scooter,3.7,3.99,Mumbai,1812,31.53,0.78,20.6
30318,41,Scooter,9.8,4.17,Pune,6564,26.82,0.92,26.1
30319,40,Scooter,8.2,4.5,Mumbai,3903,34.84,0.76,43.9
30320,44,Bike,2.6,3.89,Bangalore,1627,54.27,0.73,22.5
30321,25,Scooter,6.1,4.24,Delhi,3662,33.38,0.9,30.1
30322,22,Bike,9.8,3.71,Delhi,6651,30.62,0.79,23.0
30323,29,Scooter,8.6,4.35,Pune,4772,31.95,0.81,51.0
30324,28,Scooter,4.0,4.84,Bangalore,1563,24.95,0.8,55.9
30325,52,Scooter,3.4,3.51,Chennai,1756,43.87,0.86,53.3
30326,27,Bike,8.3,3.95,Mumbai,2974,27.64,0.82,16.2
30327,40,Bike,5.7,4.49,Delhi,2473,24.94,0.85,29.3
30328,35,Scooter,2.1,5.0,Bangalore,1292,31.16,0.91,43.7
30329,48,Car,3.6,4.41,Mumbai,1100,45.12,0.81,15.0
30330,51,Bike,6.8,3.94,Pune,3728,40.34,0.89,48.6
30331,42,Scooter,2.0,4.15,Bangalore,1154,32.95,0.97,54.1
30332,44,Bike,7.1,3.77,Pune,4685,31.77,0.76,18.5
30333,54,Bike,7.2,4.48,Chennai,4338,30.74,0.95,34.4
30334,29,Car,3.1,4.57,Pune,1429,30.85,0.77,28.6
30335,22,Car,4.3,4.69,Hyderabad,2606,33.04,0.79,57.6
30336,45,Bike,9.4,4.08,Delhi,5171,41.85,0.73,29.6
30337,32,Bike,7.6,3.92,Pune,4063,29.1,0.8,41.1
30338,24,Bike,8.0,4.72,Pune,2635,49.06,0.88,15.4
30339,33,Scooter,5.4,4.68,Mumbai,2785,42.95,0.91,52.6
30340,49,Bike,2.5,3.85,Bangalore,1617,50.2,0.92,16.3
30341,52,Bike,6.1,4.07,Bangalore,2895,23.33,0.68,40.6
30342,47,Bike,7.8,4.48,Mumbai,4536,31.52,0.71,48.3
30343,50,Bike,0.5,4.11,Delhi,330,37.32,0.87,32.8
30344,21,Car,1.6,4.21,Pune,821,35.36,0.89,16.4
30345,31,Bike,5.0,3.69,Delhi,1676,40.64,0.93,55.5
30346,43,Bike,4.7,3.81,Pune,1511,39.03,0.88,31.5
30347,37,Scooter,9.8,4.17,Bangalore,6067,27.66,0.75,36.0
30348,35,Car,1.4,3.96,Delhi,438,30.15,0.77,51.6
30349,47,Scooter,3.6,3.8,Pune,2518,34.34,0.86,44.7
30350,30,Scooter,8.2,4.09,Hyderabad,2878,24.18,0.73,29.6
30351,36,Car,6.3,3.89,Chennai,3843,32.4,0.77,39.3
30352,48,Bike,5.8,4.21,Chennai,3753,38.29,0.84,19.2
30353,22,Scooter,7.5,4.55,Hyderabad,3169,44.22,0.83,36.7
30354,35,Bike,0.9,4.09,Delhi,464,37.1,0.85,34.3
30355,31,Car,9.5,4.05,Pune,6469,20.0,0.87,49.2
30356,53,Scooter,2.3,4.58,Bangalore,1568,35.08,0.73,51.0
30357,36,Car,1.3,4.46,Delhi,873,42.68,0.85,54.3
30358,31,Scooter,3.7,4.48,Mumbai,1516,23.27,0.75,53.6
30359,40,Scooter,7.2,3.32,Mumbai,2331,34.04,0.84,59.9
30360,39,Bike,2.7,4.04,Delhi,921,42.54,0.9,46.8
30361,43,Car,1.0,4.0,Hyderabad,356,34.45,0.88,42.9
30362,30,Scooter,1.0,3.91,Mumbai,568,33.12,0.77,21.6
30363,28,Bike,2.9,4.57,Pune,1800,44.3,0.76,36.1
30364,22,Bike,1.8,4.01,Chennai,576,34.46,0.97,34.4
30365,27,Scooter,4.0,3.71,Bangalore,2624,34.27,0.91,48.1
30366,46,Bike,2.1,4.29,Hyderabad,1257,33.89,0.83,27.4
30367,39,Scooter,3.8,4.2,Mumbai,1946,43.36,0.94,54.2
30368,26,Bike,4.7,3.88,Bangalore,3271,35.25,0.84,24.9
30369,53,Scooter,7.6,4.56,Pune,3086,33.74,1.0,36.8
